index,Номер УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,Процентов за Амосов Михаил Иванович,Процентов за Беглов Александр Дмитриевич,Процентов за Тихонова Надежда Геннадьевна,Адрес УИК
55,567,2206,2000,635,8,1357,8,635,25,618,0,0,267,284,67,41.5,44.1,10.4,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Бутлерова улица, дом 22, корпус 1, лицей №470"
56,568,2290,2000,698,5,1297,5,698,15,688,0,0,226,413,49,32.1,58.7,6.9,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Бутлерова улица, дом 22, корпус 1, лицей №470"
57,569,2094,2000,613,8,1379,8,613,13,608,0,0,185,325,98,29.7,52.3,15.7,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Фаворского улица, дом 16, школа №111"
58,570,1706,1500,466,3,1031,3,463,11,455,0,0,122,254,79,26.1,54.5,16.9,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Гражданский проспект, дом 31, корпус 5, лицей №470"
59,571,1394,1000,471,3,526,3,421,10,414,0,0,152,166,96,35.8,39.1,22.6,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Гражданка, Бутлерова улица, дом 22, корпус 1, лицей №470"
60,572,3173,2500,856,6,1638,6,850,15,841,0,0,220,273,348,25.7,31.8,40.6,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Бестужевская улица, дом 5, корпус 1, ГБОУ школа №100"
61,573,1831,2000,1808,14,178,14,1808,37,1785,0,0,133,1330,322,7.3,72.9,17.6,"Адрес помещения для голосования: 195009, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Арсенальная набережная, дом 13/1, Администрация Калининского района Санкт-Петербурга"
62,574,1819,1500,446,0,1054,0,444,7,437,0,0,103,170,164,23.2,38.2,36.9,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Бестужевская улица, дом 5, корпус 1, ГБОУ школа №100"
63,575,2298,2000,621,0,1379,0,621,11,610,0,0,130,297,183,20.9,47.8,29.4,"Адрес помещения для голосования: 195271, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Пискаревка, Бестужевская улица, дом 5, корпус 1, ГБОУ школа №100"
64,2283,2531,2000,641,3,1356,3,641,6,638,0,0,117,215,306,18.1,33.3,47.5,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Полюстровский проспект, дом 61, оптико-механический лицей"
65,2284,235,500,235,0,265,0,235,11,224,0,0,17,165,42,7.2,70.2,17.8,Данных нет
66,2318,310,350,211,0,139,0,211,24,187,0,0,15,165,7,7.1,78.2,3.3,Данных нет
67,2319,203,300,165,0,135,0,164,1,163,1,1,28,111,24,17.0,67.6,14.6,Данных нет
68,2373,260,300,196,9,95,9,195,3,201,0,0,31,149,21,15.2,73.0,10.2,Данных нет
69,2374,255,300,213,13,74,13,213,2,224,0,0,38,165,21,16.8,73.0,9.2,Данных нет
70,2375,221,300,171,2,127,2,171,0,173,0,0,48,109,16,27.7,63.0,9.2,Данных нет
0,414,1922,1500,492,6,1002,6,491,12,485,0,0,158,231,96,31.7,46.4,19.3,"Адрес помещения для голосования: 195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Непокоренных, дом 12, корпус 2, литера А, ГБОУ СОШ №514"
1,415,1816,1500,472,8,1020,8,450,7,451,0,0,112,283,56,24.4,61.7,12.2,"Адрес помещения для голосования: 194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ГБОУ СОШ №145"
2,416,2951,2500,742,9,1749,9,742,27,724,0,0,191,382,151,25.4,50.8,20.1,"Адрес помещения для голосования: 194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ГБОУ СОШ №145"
3,417,2720,2000,765,16,1219,16,765,16,765,0,0,182,464,119,23.3,59.4,15.2,"Адрес помещения для голосования: 194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ГБОУ СОШ №145"
4,418,1936,1500,541,10,949,10,540,7,543,0,0,144,321,78,26.1,58.3,14.1,"Адрес помещения для голосования: 195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2, ГБОУ СОШ №137"
5,419,1997,1500,420,13,1067,13,420,14,419,0,0,111,205,103,25.6,47.3,23.7,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ГБОУ Гимназия №148 имени Сервантеса"
6,420,2234,2000,599,13,1388,13,599,19,593,0,0,150,349,94,24.5,57.0,15.3,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ГБОУ Гимназия №148 имени Сервантеса"
7,421,2726,2000,638,7,1355,7,638,10,635,0,0,181,282,172,28.0,43.7,26.6,"Адрес помещения для голосования: 194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4, ГБОУ СОШ №145"
8,422,2332,2000,594,1,1405,1,593,17,577,0,0,150,309,118,25.2,52.0,19.8,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ГБОУ лицей №150"
9,423,1945,1500,488,7,1005,7,488,19,476,0,0,132,264,80,26.6,53.3,16.1,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ГБОУ лицей №150"
10,424,2245,2000,574,13,1413,13,570,8,575,0,0,144,364,67,24.7,62.4,11.4,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ГБОУ СОШ №158"
11,425,2079,1500,604,6,890,6,596,22,580,0,0,181,320,79,30.0,53.1,13.1,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ГБОУ СОШ №158"
12,426,2289,2000,653,11,1336,11,653,13,651,0,0,166,376,109,25.0,56.6,16.4,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ГБОУ СОШ №158"
13,427,2168,2000,602,11,1387,11,602,17,596,0,0,150,361,85,24.4,58.8,13.8,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ГБОУ лицей №150"
14,428,1960,1500,537,59,904,59,537,24,572,0,0,133,350,89,22.3,58.7,14.9,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ГБОУ Гимназия №148 имени Сервантеса"
15,429,1852,1500,494,11,995,11,494,12,493,0,0,129,273,91,25.5,54.0,18.0,"Адрес помещения для голосования: 195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2, ГБОУ СОШ №137"
16,430,2178,2000,652,15,1333,15,643,20,638,0,0,170,338,130,25.8,51.3,19.7,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
17,431,1877,1500,439,6,1055,6,439,13,432,0,0,114,256,62,25.6,57.5,13.9,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
18,432,1918,1500,531,13,956,13,529,23,519,0,0,132,310,77,24.3,57.2,14.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
19,433,2036,1500,466,15,1019,15,465,18,462,0,0,141,237,84,29.3,49.3,17.5,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ГБУ ДО ЦВР ДМ ""Академический"""
20,434,2065,2000,575,15,1410,15,572,6,581,0,0,153,322,106,26.0,54.8,18.0,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
21,435,1901,1500,498,16,986,16,498,16,498,0,0,95,299,104,18.4,58.1,20.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ГБУ ДО ЦВР ДМ ""Академический"""
22,436,2120,1500,620,15,865,15,602,25,592,0,0,189,309,94,30.6,50.0,15.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
23,437,1814,1500,484,27,989,27,483,14,496,0,0,129,286,81,25.2,56.0,15.8,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
24,438,2206,2000,563,15,1422,15,555,13,557,0,0,134,343,80,23.5,60.1,14.0,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ГБОУ СОШ №78"
25,439,2213,2000,660,4,1336,4,653,10,647,0,0,147,416,84,22.3,63.3,12.7,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ГБОУ СОШ №98"
26,440,2866,2500,722,9,1769,9,713,28,694,0,0,179,380,135,24.7,52.6,18.7,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ГБОУ СОШ №98"
27,441,2530,2000,615,12,1373,12,613,18,607,0,0,173,344,90,27.6,55.0,14.4,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ГБОУ СОШ №121"
28,442,2151,2000,574,11,1415,11,574,9,576,0,0,111,374,91,18.9,63.9,15.5,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ГБОУ СОШ №121"
29,443,2155,2000,548,7,1445,7,548,20,535,0,0,121,320,94,21.8,57.6,16.9,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ГБОУ СОШ №78"
